Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"Hardcore IPA",BrewDog,"Imperial / Double IPA",9.2,150,,"The White Horse","Greater London","Greater London",51.4744,-0.200549,5,"2013-02-14 21:18:56",https://untappd.com/c/22389134,https://untappd.com/beer/5707,https://untappd.com/brewery/241,Scotland
"Bethnal Pale Ale","Redchurch Brewery ","American Pale Ale",5.5,0,"It's Monday, so I'm drinking beer.","Pizza East",Shoreditch,"Greater London",51.5237,-0.0770613,4,"2013-02-18 12:59:37",https://untappd.com/c/22782431,https://untappd.com/beer/80565,https://untappd.com/brewery/16221,England
"London Pride","Fuller, Smith & Turner ","English Bitter",4.1,0,"Assumed a pub in Hoxton with a teepee on the roof would have better beers","Queen of Hoxton",Shoreditch,"Greater London",51.5218,-0.0807774,3.5,"2013-02-18 17:54:49",https://untappd.com/c/22785915,https://untappd.com/beer/2762,https://untappd.com/brewery/3296,England
"Schneider Weisse Meine Blonde Weisse (TAP1)","Weisses Bräuhaus G. Schneider & Sohn",Hefeweizen,5.2,14,,,,,,,4,"2013-02-19 19:36:32",https://untappd.com/c/22843015,https://untappd.com/beer/40151,https://untappd.com/brewery/1023,Germany
"Black Jack Porter","Left Hand Brewing Company","English Porter",6.8,0,"Rich smoky porter with a hint of liquorice","The White Horse","Greater London","Greater London",51.4744,-0.200549,4,"2013-02-19 19:57:02",https://untappd.com/c/22843549,https://untappd.com/beer/213,https://untappd.com/brewery/779,"United States"
"Hackney Hopster","London Fields Brewery","English Pale Ale",4.2,0,"Serviceable. Not amazing. Very much like my home brewed IPA","The Old Blue Last",Shoreditch,"Greater London",51.5243,-0.0802135,3,"2013-02-20 17:10:31",https://untappd.com/c/22893858,https://untappd.com/beer/98628,https://untappd.com/brewery/15411,England
Runner,"Truman's Brewery","English Bitter",4,0,,,,,,,3,"2013-02-20 17:34:20",https://untappd.com/c/22894263,https://untappd.com/beer/80388,https://untappd.com/brewery/14026,England
"Stone Ruination IPA","Stone Brewing Co.","Imperial / Double IPA",8.2,100,"Yeah, it's a double IPA, but it's got a nice spicy note to it too","The Euston Tap",London,"Greater London",51.527,-0.13248,5,"2013-02-21 19:13:04",https://untappd.com/c/22955889,https://untappd.com/beer/1382,https://untappd.com/brewery/1204,"United States"
"Brooklyn Lager","Brooklyn Brewery","Vienna Lager",5.2,33,,"The Reliance",Shoreditch,"Greater London",51.5267,-0.081398,4,"2013-02-21 19:56:28",https://untappd.com/c/22957269,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States"
"Saigon Export",Sabeco,"Pale Lager",4.9,0,,"Cay Tre",Shoreditch,"Greater London",51.5268,-0.0816785,3,"2013-02-21 20:49:46",https://untappd.com/c/22959353,https://untappd.com/beer/8955,https://untappd.com/brewery/4640,Vietnam
"Double Chocolate Stout","Rogue Ales","American Imperial / Double Stout",9,50,"Damn, that's a chocolatey stout!","The Euston Tap",London,"Greater London",51.527,-0.13248,4,"2013-02-22 16:34:49",https://untappd.com/c/23023707,https://untappd.com/beer/8614,https://untappd.com/brewery/4565,"United States"
"Double Acer","Bristol Beer Factory","English IPA",6.5,0,"Robust IPA, but not quite a US style one. Almost bubblegum like undertones. Tasty.","The Euston Tap",London,"Greater London",51.527,-0.13248,5,"2013-02-22 16:51:07",https://untappd.com/c/23023978,https://untappd.com/beer/307793,https://untappd.com/brewery/3503,England
Iceberg,"Titanic Brewery","Blonde Ale",4.1,0,,"The Bowling Green",Lichfield,Staffordshire,52.679,-1.83457,,"2013-02-24 14:43:59",https://untappd.com/c/23286841,https://untappd.com/beer/33369,https://untappd.com/brewery/1709,England
"Brown Nose",Mikkeller,"Belgian Brown Ale ",6,0,,"Common Bar",Manchester,,53.4843,-2.23614,4,"2013-02-26 17:31:13",https://untappd.com/c/23414610,https://untappd.com/beer/288943,https://untappd.com/brewery/2813,Denmark
Cannonball,"Magic Rock Brewing","American IPA",7.4,0,,"Common Bar",Manchester,,53.4843,-2.23614,4,"2013-02-26 21:02:23",https://untappd.com/c/23419331,https://untappd.com/beer/61315,https://untappd.com/brewery/13156,England
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,,"Taylor Walker pub",,,51.4922,-0.192597,3.5,"2013-02-28 18:47:25",https://untappd.com/c/23524960,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"London Stout","Meantime Brewing Company",Stout,4.5,0,,,,,,,3,"2013-03-01 17:20:24",https://untappd.com/c/23593182,https://untappd.com/beer/25773,https://untappd.com/brewery/844,England
"London Pale Ale","Meantime Brewing Company","English Pale Ale",4.3,0,,,,,,,4,"2013-03-01 20:53:00",https://untappd.com/c/23602756,https://untappd.com/beer/12332,https://untappd.com/brewery/844,England
"Oxford Gold","Brakspear Brewing Company","Golden Ale",4.6,0,,,,,,,3.5,"2013-03-01 21:13:49",https://untappd.com/c/23604240,https://untappd.com/beer/14933,https://untappd.com/brewery/1353,England
"Schneider Weisse Original (TAP7)","Weisses Bräuhaus G. Schneider & Sohn",Hefeweizen,5.4,14,,"The White Horse","Greater London","Greater London",51.4744,-0.200549,5,"2013-03-05 19:44:23",https://untappd.com/c/23972620,https://untappd.com/beer/11982,https://untappd.com/brewery/1023,Germany
"JHB (Jeffrey Hudson Bitter)","Oakham Ales","Golden Ale",3.8,0,,,,,,,4,"2013-03-05 20:09:13",https://untappd.com/c/23973383,https://untappd.com/beer/53755,https://untappd.com/brewery/931,England
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,"Waitrose sell Thornbridge now. Who knew?",,,,,,5,"2013-03-05 22:01:24",https://untappd.com/c/23977116,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Black Marble","Marble Beers","Black IPA / Cascadian Dark Ale",7.2,0,,"The Euston Tap",London,"Greater London",51.527,-0.13248,4,"2013-03-06 17:51:16",https://untappd.com/c/24025754,https://untappd.com/beer/287175,https://untappd.com/brewery/2456,England
"Stone Smoked Porter","Stone Brewing Co.","Smoked Beer",5.9,0,,"The Euston Tap",London,"Greater London",51.527,-0.13248,5,"2013-03-06 18:40:17",https://untappd.com/c/24026883,https://untappd.com/beer/1257,https://untappd.com/brewery/1204,"United States"
"Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan",Hefeweizen,5.4,14,"Banana-y, bubblegummy weissbier","The Euston Tap",London,"Greater London",51.527,-0.13248,4,"2013-03-06 19:02:15",https://untappd.com/c/24027395,https://untappd.com/beer/8745,https://untappd.com/brewery/88,Germany
"Original Oak Aged Beer","Innis & Gunn","Scottish Export Ale",6.6,18,,,,,,,3.5,"2013-03-09 20:33:48",https://untappd.com/c/24297388,https://untappd.com/beer/24675,https://untappd.com/brewery/1673,Scotland
"IPA Reserve","Greene King","English IPA",5.4,0,,,,,,,3.5,"2013-03-09 20:44:09",https://untappd.com/c/24298894,https://untappd.com/beer/154589,https://untappd.com/brewery/612,England
"Doom Bar","Sharp's Brewery","English Bitter",4,0,"Continuing tonight's supermarket beer odyssey. Prefer it on tap TBH",,,,,,3.5,"2013-03-09 21:18:37",https://untappd.com/c/24304006,https://untappd.com/beer/7552,https://untappd.com/brewery/1994,England
