Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"Pale Ale Citra","The Kernel Brewery","American Pale Ale",5.4,0,"Opened with my teeth as my keys (and my bottle opener) are in Shoreditch :(",,,,,,5,"2014-08-14 17:18:50",https://untappd.com/c/107129336,https://untappd.com/beer/352015,https://untappd.com/brewery/3376,England
"Mariana Trench","Weird Beard Brew Co.","American Pale Ale",5.4,0,,,,,,,4,"2014-08-14 21:13:44",https://untappd.com/c/107158099,https://untappd.com/beer/331239,https://untappd.com/brewery/30704,England
U-Boat,BrewDog,"Smoked Beer",8.4,50,"Probs a touch too much going on for me. It's smoky, it's sweet, there's a hint of lager character too. I can appreciate the craft though",,,,,,3,"2014-08-14 21:47:07",https://untappd.com/c/107163886,https://untappd.com/beer/769420,https://untappd.com/brewery/241,Scotland
"Magic Stone Dog",BrewDog,"Saison / Farmhouse Ale",5,40,"Funk with my funk!","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2014-08-15 21:02:48",https://untappd.com/c/107396457,https://untappd.com/beer/708838,https://untappd.com/brewery/241,Scotland
"Semiconductor Session IPA","8 Wired Brewing Co.","American IPA",4.4,0,"Exactly what you'd expect from a New Zeland IPA",,,,,,4,"2014-08-15 21:56:57",https://untappd.com/c/107411960,https://untappd.com/beer/408091,https://untappd.com/brewery/3555,"New Zealand"
"01/07 Saison Nelson Sauvin","Brew By Numbers","Saison / Farmhouse Ale",6,0,"Pretty awesome TBH",,,,,,4.5,"2014-08-15 23:00:25",https://untappd.com/c/107434565,https://untappd.com/beer/570045,https://untappd.com/brewery/50834,England
"Electric India",BrewDog,"Saison / Farmhouse Ale",6.5,0,"I've had ALL THE SAISON this weekend",,,,,,4.5,"2014-08-16 20:45:08",https://untappd.com/c/107770734,https://untappd.com/beer/374052,https://untappd.com/brewery/241,Scotland
"Railway Porter","The Five Points Brewing Company",Porter,4.8,34,"Coffee, chocolate and just a hint of raisin and prune. Delicious.",,,,,,4.5,"2014-08-16 21:06:54",https://untappd.com/c/107781797,https://untappd.com/beer/358884,https://untappd.com/brewery/56204,England
"8-Ball Rye IPA",Beavertown,"Rye Beer",6.2,50,Caaaaaaaaaaaaaaaaaaanssssssss,,,,,,5,"2014-08-16 23:32:01",https://untappd.com/c/107865286,https://untappd.com/beer/136670,https://untappd.com/brewery/24735,England
"Neck Oil",Beavertown,"English Pale Ale",4.3,31,"Straight from the can, as nature intended",,,,,,4,"2014-08-17 20:16:20",https://untappd.com/c/108155888,https://untappd.com/beer/136656,https://untappd.com/brewery/24735,England
"Tesco Finest Pilsner","Marston's Beer Co",Pilsner,4.8,0,"S'alright this",,,,,,3.5,"2014-08-17 21:15:35",https://untappd.com/c/108175033,https://untappd.com/beer/750615,https://untappd.com/brewery/1517,England
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,,,,,,,4.5,"2014-08-21 21:09:20",https://untappd.com/c/108876138,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"Pale Ale","Fourpure Brewing Co","American Pale Ale",5,35,"Lovely, well balanced, sessionable drop",,,,,,4,"2014-08-21 21:49:19",https://untappd.com/c/108882564,https://untappd.com/beer/508285,https://untappd.com/brewery/86957,England
"Green Monkey","Joule's Brewery","Helles Lager",4.3,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2014-08-22 13:34:14",https://untappd.com/c/109053949,https://untappd.com/beer/680677,https://untappd.com/brewery/3558,England
"Oude Kriek","Brouwerij Boon",Lambic,6.5,0,"Been a while since I've had a Kriek",,,,,,4,"2014-08-22 21:01:54",https://untappd.com/c/109108411,https://untappd.com/beer/157085,https://untappd.com/brewery/268,Belgium
"Small Saison","Buxton Brewery","Saison / Farmhouse Ale",3.4,0,"Remarkably low on the funk, but refreshing, grassy and citrusy",,,,,,3.5,"2014-08-22 22:20:13",https://untappd.com/c/109131250,https://untappd.com/beer/706673,https://untappd.com/brewery/3461,England
"American Wheat",BrewDog,"American Pale Wheat Ale",4.8,0,"Nice simple malt bill lets the hops sing",,,,,,4,"2014-08-22 23:12:51",https://untappd.com/c/109151829,https://untappd.com/beer/711000,https://untappd.com/brewery/241,Scotland
"01/07 Saison Nelson Sauvin","Brew By Numbers","Saison / Farmhouse Ale",6,0,,,,,,,4.5,"2014-08-23 00:37:48",https://untappd.com/c/109194558,https://untappd.com/beer/570045,https://untappd.com/brewery/50834,England
"Old Fashioned Saison",Pezbraü,"Saison / Farmhouse Ale",5.7,0,"Slightly under carbed, but overall, a very successful saison. Bourbon barrel flavour doesn't dominate either. Sits nicely in the background.",,,,,,4.5,"2014-08-23 16:53:51",https://untappd.com/c/109401762,https://untappd.com/beer/789047,https://untappd.com/brewery/50721,England
"Longhorn IPA","Purity Brewing Co. (England)","American IPA",5,0,"From the can",,,,,,4,"2014-08-23 19:36:20",https://untappd.com/c/109448864,https://untappd.com/beer/471463,https://untappd.com/brewery/1536,England
Mezquita,"Grupo Cervezas Alhambra","Imperial / Double Pilsner",7.2,0,,,,,,,3,"2014-08-23 22:28:19",https://untappd.com/c/109536495,https://untappd.com/beer/25922,https://untappd.com/brewery/370,Spain
Blonde,"The Ticketybrew Company","Blonde Ale",5.8,0,"Nice subtle Belgian blonde",,,,,,3.5,"2014-08-23 22:35:11",https://untappd.com/c/109540500,https://untappd.com/beer/409162,https://untappd.com/brewery/57806,England
"Bengali Tiger","Sixpoint Brewery","American IPA",6.4,62,"Emergency craft from Spoons",,,,,,4.5,"2014-08-24 20:38:39",https://untappd.com/c/109867734,https://untappd.com/beer/4960,https://untappd.com/brewery/1149,"United States"
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,,,,,,,4.5,"2014-08-24 21:05:45",https://untappd.com/c/109876764,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"Old Fashioned Saison",Pezbraü,"Saison / Farmhouse Ale",5.7,0,"Tempted to put some sugar syrup and bitters in this TBH",,,,,,4.5,"2014-08-24 21:51:06",https://untappd.com/c/109892663,https://untappd.com/beer/789047,https://untappd.com/brewery/50721,England
"Sweet Action","Sixpoint Brewery","Cream Ale",5.2,34,,,,,,,3.5,"2014-08-24 23:01:14",https://untappd.com/c/109917920,https://untappd.com/beer/10010,https://untappd.com/brewery/1149,"United States"
"Bengali Tiger","Sixpoint Brewery","American IPA",6.4,62,,,,,,,4.5,"2014-08-25 21:44:42",https://untappd.com/c/110074767,https://untappd.com/beer/4960,https://untappd.com/brewery/1149,"United States"
"Quelle Saison",Beavertown,"Saison / Farmhouse Ale",4.1,0,"Train beer. Pleasant surprise to find this in cans",,,,,,5,"2014-08-28 16:58:40",https://untappd.com/c/110530404,https://untappd.com/beer/564198,https://untappd.com/brewery/24735,England
"The Tickle Monster","Siren Craft Brew","Triple IPA",12,0,"Was really looking forward to this, but my bottle is flat as hell. Accident or design? :(",,,,,,3,"2014-08-28 21:47:24",https://untappd.com/c/110564864,https://untappd.com/beer/764036,https://untappd.com/brewery/55184,England
"8-Ball Rye IPA",Beavertown,"Rye Beer",6.2,50,,,,,,,4.5,"2014-08-28 22:15:31",https://untappd.com/c/110570147,https://untappd.com/beer/136670,https://untappd.com/brewery/24735,England
942,DouGall's,"American Pale Ale",4.2,30,"Spanish craft beer! And it's not horrible! Quite the opposite in fact. Simcoe-tastic!",,,,,,4,"2014-09-01 18:19:23",https://untappd.com/c/111801599,https://untappd.com/beer/148748,https://untappd.com/brewery/25244,Spain
"Cruzcampo Gran Reserva","Grupo Cruzcampo","Imperial / Double Pilsner",6.4,0,"""100% malt"" it boasts on the label. Says it all really.",,,,,,1,"2014-09-01 22:27:57",https://untappd.com/c/111858424,https://untappd.com/beer/15683,https://untappd.com/brewery/5432,Spain
Cruzcampo,"Grupo Cruzcampo","Czech Pilsener",4.8,330,"Better than the Gran Rezerva",,,,,,3,"2014-09-01 23:22:09",https://untappd.com/c/111876496,https://untappd.com/beer/399207,https://untappd.com/brewery/5432,Spain
"Mahou Negra","Mahou-San Miguel",Schwarzbier,5.5,0,"Interesting one this. Winey chocolatey and a little bit smoky. Not sure what to think really.",,,,,,3,"2014-09-03 20:47:16",https://untappd.com/c/112162795,https://untappd.com/beer/15973,https://untappd.com/brewery/4726,Spain
"Old Fashioned Saison",Pezbraü,"Saison / Farmhouse Ale",5.7,0,"This has developed into a lovely beer. The yeast character, the hops, the orange and the bourbon blend beautifully. Pleased with this.",,,,,,5,"2014-09-07 20:17:17",https://untappd.com/c/113291803,https://untappd.com/beer/789047,https://untappd.com/brewery/50721,England
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,"Back in the land of good beer",,,,,,5,"2014-09-07 21:28:22",https://untappd.com/c/113316259,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Vedett Extra Blond","Duvel Moortgat","Pale Lager",5.2,0,"Even Vedett are getting into this can thing",,,,,,4,"2014-09-11 21:17:18",https://untappd.com/c/113929787,https://untappd.com/beer/8653,https://untappd.com/brewery/167,Belgium
Sequoia,"Thornbridge Brewery","American Amber / Red Ale",4.5,0,Tasty,,,,,,4,"2014-09-11 22:05:40",https://untappd.com/c/113936939,https://untappd.com/beer/54776,https://untappd.com/brewery/2047,England
"Calcutta 1757","Joule's Brewery","English IPA",5,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2014-09-12 14:09:39",https://untappd.com/c/114092631,https://untappd.com/beer/386582,https://untappd.com/brewery/3558,England
"Saison Dupont","Brasserie Dupont","Saison / Farmhouse Ale",6.5,0,"On tap at Brewdog. So happy.","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2014-09-12 21:03:38",https://untappd.com/c/114143899,https://untappd.com/beer/8073,https://untappd.com/brewery/189,Belgium
"Russian Doll IPA",BrewDog,"American IPA",6,70,,,,,,,4,"2014-09-12 22:17:18",https://untappd.com/c/114164188,https://untappd.com/beer/806555,https://untappd.com/brewery/241,Scotland
"This. Is. Lager.",BrewDog,Pilsner,4.7,40,,,,,,,3.5,"2014-09-12 22:50:03",https://untappd.com/c/114175273,https://untappd.com/beer/799438,https://untappd.com/brewery/241,Scotland
"Viking's Revenge",Mikkeller,"American Pale Ale",6,0,"Tastes and looks more like an amber ale to me, but very tasty nonetheless",,,,,,4,"2014-09-12 23:47:19",https://untappd.com/c/114199375,https://untappd.com/beer/111647,https://untappd.com/brewery/2813,Denmark
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"It's been a while",,,,,,5,"2014-09-13 21:10:53",https://untappd.com/c/114530116,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
Saison,"Nøgne Ø","Saison / Farmhouse Ale",6.5,25,,,,,,,4.5,"2014-09-13 21:21:26",https://untappd.com/c/114536034,https://untappd.com/beer/43682,https://untappd.com/brewery/923,Norway
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,"So good having a regular supply of this so close to home :)",,,,,,4.5,"2014-09-13 22:53:44",https://untappd.com/c/114588423,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"8-Ball Rye IPA",Beavertown,"Rye Beer",6.2,50,,,,,,,4.5,"2014-09-13 23:38:00",https://untappd.com/c/114613869,https://untappd.com/beer/136670,https://untappd.com/brewery/24735,England
"Quelle Saison",Beavertown,"Saison / Farmhouse Ale",4.1,0,"Train beer from earlier",,,,,,4.5,"2014-09-18 20:22:37",https://untappd.com/c/115558499,https://untappd.com/beer/564198,https://untappd.com/brewery/24735,England
"Berliner Kindl Weisse",Berliner-Kindl-Schultheiss-Brauerei,"Berliner Weisse",3,0,"Expected a touch more sourness, but pleasant nonetheless",,,,,,3.5,"2014-09-18 20:24:07",https://untappd.com/c/115558720,https://untappd.com/beer/30059,https://untappd.com/brewery/1582,Germany
"Middle Finger Discount","Siren Craft Brew","American IPA",7.2,0,"I just can't get my head around this, but in a good way",,,,,,4.5,"2014-09-18 21:24:14",https://untappd.com/c/115566835,https://untappd.com/beer/764050,https://untappd.com/brewery/55184,England
"Russian Doll Pale Ale",BrewDog,"American Pale Ale",4,35,"It begins!",,,,,,3.5,"2014-09-19 20:41:58",https://untappd.com/c/115780305,https://untappd.com/beer/806554,https://untappd.com/brewery/241,Scotland
"Russian Doll IPA",BrewDog,"American IPA",6,70,,,,,,,3.5,"2014-09-19 21:06:34",https://untappd.com/c/115786261,https://untappd.com/beer/806555,https://untappd.com/brewery/241,Scotland
"Russian Doll Double IPA",BrewDog,"Imperial / Double IPA",8,85,"This is more like it.",,,,,,4,"2014-09-19 21:26:08",https://untappd.com/c/115791351,https://untappd.com/beer/784224,https://untappd.com/brewery/241,Scotland
"Russian Doll Barleywine",BrewDog,"American Barleywine",10,100,Ooooof,,,,,,4.5,"2014-09-19 22:10:36",https://untappd.com/c/115803766,https://untappd.com/beer/806556,https://untappd.com/brewery/241,Scotland
"Amber Ale In The Pines","Wiper And True","American Amber / Red Ale",5.3,35,"Resinous, piney with a warm finish. Could do with a touch more sweetness.","Boston Tea Party",Birmingham,"West Midlands",52.483,-1.8933,3.5,"2014-09-20 18:09:38",https://untappd.com/c/116085437,https://untappd.com/beer/389445,https://untappd.com/brewery/48637,England
"Jasmine Green Tea","The Ticketybrew Company","Blonde Ale",3.8,0,"Delicate, almost saison-like, but lacks a certain something",,,,,,3,"2014-09-20 20:35:57",https://untappd.com/c/116155462,https://untappd.com/beer/728945,https://untappd.com/brewery/57806,England
"Pale Ale Simcoe +","The Kernel Brewery","American Pale Ale",5.6,0,,,,,,,4,"2014-09-20 21:19:44",https://untappd.com/c/116179812,https://untappd.com/beer/304904,https://untappd.com/brewery/3376,England
"Railway Porter","The Five Points Brewing Company",Porter,4.8,34,"I think this is my favourite porter this year",,,,,,4.5,"2014-09-20 22:10:09",https://untappd.com/c/116209309,https://untappd.com/beer/358884,https://untappd.com/brewery/56204,England
"Session IPA","Fourpure Brewing Co","American IPA",4.2,40,"Birthday eve train beer treat",,,,,,4,"2014-09-22 16:53:19",https://untappd.com/c/116728245,https://untappd.com/beer/487661,https://untappd.com/brewery/86957,England
"10 Finger Discount","Siren Craft Brew","American IPA",7.2,0,"Birthday treat :)",,,,,,4.5,"2014-09-23 20:19:43",https://untappd.com/c/116879944,https://untappd.com/beer/644752,https://untappd.com/brewery/55184,England
"10 Toe Discount","Siren Craft Brew","American IPA",7.2,0,"Yeah, this is the shit. The Amarillo hopping really works well with the cedar wood.",,,,,,5,"2014-09-23 21:23:16",https://untappd.com/c/116886551,https://untappd.com/beer/764041,https://untappd.com/brewery/55184,England
"Punk IPA",BrewDog,"American IPA",5.6,45,"First bomber in a while",,,,,,4,"2014-09-25 22:04:56",https://untappd.com/c/117223347,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"DNA New World IPA","Charles Wells Brewery","English IPA",4.5,37,"Meh. Best of a bad bunch in here though","No. 51 Stokes Croft",Bristol,Bristol,51.4622,-2.59033,2.5,"2014-10-01 19:19:48",https://untappd.com/c/118698270,https://untappd.com/beer/338611,https://untappd.com/brewery/1348,England
Orval,"Brasserie d'Orval","Belgian Pale Ale",6.2,36,"Hungover, so didn't enjoy this as much as I expected to",,,,,,4,"2014-10-02 21:17:26",https://untappd.com/c/118891921,https://untappd.com/beer/851,https://untappd.com/brewery/169,Belgium
"Longhorn IPA","Purity Brewing Co. (England)","American IPA",5,0,"Growler from @cellardoordrink. Aw yeah!",,,,,,4,"2014-10-03 19:52:45",https://untappd.com/c/119132304,https://untappd.com/beer/471463,https://untappd.com/brewery/1536,England
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,,,,,,,5,"2014-10-04 21:05:00",https://untappd.com/c/119569605,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Saint Petersburg","Thornbridge Brewery","Russian Imperial Stout",7.4,0,,,,,,,4,"2014-10-04 21:35:00",https://untappd.com/c/119587123,https://untappd.com/beer/11934,https://untappd.com/brewery/2047,England
"Bacchus Kriekenbier","Brouwerij Van Honsebrouck","Fruit Beer",5.8,0,"Cherry, sherbert and vanilla. A touch too sweet mind.",,,,,,3.5,"2014-10-04 22:07:22",https://untappd.com/c/119605947,https://untappd.com/beer/29559,https://untappd.com/brewery/303,Belgium
"Amber Ale","Fourpure Brewing Co","American Amber / Red Ale",5.1,25,,,,,,,4,"2014-10-08 21:49:49",https://untappd.com/c/120478524,https://untappd.com/beer/483926,https://untappd.com/brewery/86957,England
"Far Skyline","Buxton Brewery","Berliner Weisse",4.9,0,"Really full-bodied for a berliner. Lovely.",,,,,,4.5,"2014-10-09 16:41:04",https://untappd.com/c/120620377,https://untappd.com/beer/721692,https://untappd.com/brewery/3461,England
"Axe Edge","Buxton Brewery","English IPA",6.8,0,,,,,,,4.5,"2014-10-09 22:20:30",https://untappd.com/c/120661104,https://untappd.com/beer/48269,https://untappd.com/brewery/3461,England
"Hitachino Nest White Ale","Kiuchi Brewery",Witbier,5.5,0,,,,,,,3.5,"2014-10-09 22:39:32",https://untappd.com/c/120665084,https://untappd.com/beer/1573,https://untappd.com/brewery/1713,Japan
"Saison Dupont","Brasserie Dupont","Saison / Farmhouse Ale",6.5,0,"Could drink this all day","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2014-10-10 21:27:51",https://untappd.com/c/120879398,https://untappd.com/beer/8073,https://untappd.com/brewery/189,Belgium
"I Hardcore You",BrewDog,"Imperial / Double IPA",9.5,80,"Punter poured me half his bottle. Who am I to argue?",,,,,,4.5,"2014-10-10 21:35:33",https://untappd.com/c/120882482,https://untappd.com/beer/6042,https://untappd.com/brewery/241,Scotland
"Brixton Porter",BrewDog,"English Porter",5,50,"Blander than I remember",,,,,,2.5,"2014-10-10 23:04:40",https://untappd.com/c/120916617,https://untappd.com/beer/509364,https://untappd.com/brewery/241,Scotland
Rescousse,"Brasserie Dieu du Ciel",Altbier,5.3,0,"Pretty serviceable","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,3.5,"2014-10-10 23:54:18",https://untappd.com/c/120940096,https://untappd.com/beer/34139,https://untappd.com/brewery/1674,Canada
"Honker's Ale","Goose Island Beer Co.","English Bitter",4.3,4,,"Hotel du Vin & Bistro",Birmingham,"West Midlands",52.4823,-1.90042,3,"2014-10-11 14:44:12",https://untappd.com/c/121133374,https://untappd.com/beer/6469,https://untappd.com/brewery/2898,"United States"
"Punk IPA",BrewDog,"American IPA",5.6,45,"A wedding venue with beers I approve of. Unheard of!","Pub du Vin",Birmingham,"West Midlands",52.4825,-1.90062,4.5,"2014-10-11 19:56:32",https://untappd.com/c/121224096,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Anchor Steam Beer","Anchor Brewing Company","California Common",4.9,0,,,,,,,3,"2014-10-11 20:16:37",https://untappd.com/c/121234859,https://untappd.com/beer/6204,https://untappd.com/brewery/3891,"United States"
"Punk IPA",BrewDog,"American IPA",5.6,45,"Great that Spirit pubs sell Punk, just wish they had tulip glasses. Drinking out of a straight half pint glass feels odd #craftwanker","Four Oaks Pub",,,52.5863,-1.83916,4.5,"2014-10-12 20:07:11",https://untappd.com/c/121656211,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Fantôme (Saison)","Brasserie Fantôme","Saison / Farmhouse Ale",8,0,"Best saison ever","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,5,"2014-10-16 21:14:53",https://untappd.com/c/122368591,https://untappd.com/beer/107214,https://untappd.com/brewery/3241,Belgium
"IPA Is Dead Simcoe",BrewDog,"American IPA",7.2,75,,,,,,,4.5,"2014-10-16 21:59:51",https://untappd.com/c/122375982,https://untappd.com/beer/128808,https://untappd.com/brewery/241,Scotland
"14/01 Tripel Mosaic","Brew By Numbers","Belgian Tripel",8.8,0,"Catching up!",,,,,,4,"2014-10-16 22:00:37",https://untappd.com/c/122376110,https://untappd.com/beer/670057,https://untappd.com/brewery/50834,England
"Pumpkin Head",BrewDog,"Pumpkin / Yam Beer",5.1,0,"Light, sweet and spicy. Me likes.",,,,,,4,"2014-10-17 21:32:51",https://untappd.com/c/122608567,https://untappd.com/beer/821316,https://untappd.com/brewery/241,Scotland
"Soft Focus","Gypsy Inc.","American Pale Wheat Ale",4.7,0,,,,,,,4,"2014-10-17 22:59:50",https://untappd.com/c/122638205,https://untappd.com/beer/702244,https://untappd.com/brewery/118465,Denmark
"10 Finger Discount","Siren Craft Brew","American IPA",7.2,0,,,,,,,5,"2014-10-18 21:13:21",https://untappd.com/c/123000162,https://untappd.com/beer/644752,https://untappd.com/brewery/55184,England
"Milk Stout Nitro","Left Hand Brewing Company","Milk / Sweet Stout",6,25,,,,,,,4,"2014-10-19 22:09:32",https://untappd.com/c/123429414,https://untappd.com/beer/82680,https://untappd.com/brewery/779,"United States"
IPA,"Fourpure Brewing Co","American IPA",6.5,65,"Train beer",,,,,,3.5,"2014-10-23 18:09:00",https://untappd.com/c/124055272,https://untappd.com/beer/508286,https://untappd.com/brewery/86957,England
"Beadeca's Well","Thornbridge Brewery","Smoked Beer",5.3,0,"Lovely. Not as smoky as I expected, but so much the better",,,,,,4.5,"2014-10-23 21:19:39",https://untappd.com/c/124078717,https://untappd.com/beer/164859,https://untappd.com/brewery/2047,England
"Evolver IPA","The Wild Beer Co","American IPA",5,0,"Damn, that's pokey. But oh so moreish",,,,,,4,"2014-10-23 22:22:24",https://untappd.com/c/124089751,https://untappd.com/beer/535855,https://untappd.com/brewery/41559,England
"Ace Edge","Buxton Brewery","American IPA",6.8,0,"Just ace",,,,,,5,"2014-10-24 20:54:08",https://untappd.com/c/124309518,https://untappd.com/beer/733568,https://untappd.com/brewery/3461,England
"JDW Adnams/Sixpoint BKLYN Bitter",Adnams,"American Pale Ale",5.5,0,,"The Mare Pool (Wetherspoon)","West Midlands","West Midlands",52.5866,-1.8283,4,"2014-10-29 20:45:52",https://untappd.com/c/125616418,https://untappd.com/beer/840805,https://untappd.com/brewery/11,England
"India Pale Weizen",BrewDog,Hefeweizen,5.6,0,"My two favourite beer styles. Together at last.",,,,,,4.5,"2014-10-30 17:00:21",https://untappd.com/c/125765540,https://untappd.com/beer/821324,https://untappd.com/brewery/241,Scotland
"Pumpkin Head",BrewDog,"Pumpkin / Yam Beer",5.1,0,,,,,,,4,"2014-10-30 21:24:08",https://untappd.com/c/125798508,https://untappd.com/beer/821316,https://untappd.com/brewery/241,Scotland
"Plum Porter","Titanic Brewery",Porter,4.9,0,"Not a fan. Bit too sweet",,,,,,2.5,"2014-10-30 21:51:49",https://untappd.com/c/125804995,https://untappd.com/beer/31231,https://untappd.com/brewery/1709,England
"Brixton Porter",BrewDog,"English Porter",5,50,,,,,,,4,"2014-10-31 21:26:52",https://untappd.com/c/126032165,https://untappd.com/beer/509364,https://untappd.com/brewery/241,Scotland
"American Brown - Seasonal","Fourpure Brewing Co","American Brown Ale",5.3,45,"A bit thin",,,,,,3,"2014-10-31 21:28:26",https://untappd.com/c/126032828,https://untappd.com/beer/829505,https://untappd.com/brewery/86957,England
"India Pale Ale Citra Cascade","The Kernel Brewery","American IPA",6.8,0,,,,,,,4.5,"2014-10-31 21:57:26",https://untappd.com/c/126044615,https://untappd.com/beer/862693,https://untappd.com/brewery/3376,England
Kellerweis,"Sierra Nevada Brewing Co.",Hefeweizen,4.8,15,"Banana city!",,,,,,4,"2014-11-01 21:08:41",https://untappd.com/c/126428220,https://untappd.com/beer/5374,https://untappd.com/brewery/1142,"United States"
"Polestar Pilsner","Left Hand Brewing Company",Pilsner,5.5,33,"Decent enough Pilsner, but nothing special",,,,,,3,"2014-11-01 22:26:19",https://untappd.com/c/126471787,https://untappd.com/beer/11468,https://untappd.com/brewery/779,"United States"
Driftwood,"Siren Craft Brew","English Brown Ale",4.3,0,"Perfectly serviceable mild. Twiggy, but in a good way",,,,,,3,"2014-11-04 18:46:19",https://untappd.com/c/127082268,https://untappd.com/beer/837109,https://untappd.com/brewery/55184,England
"Red Raspberry Rye","Buxton Brewery","Sour Ale",4.9,0,,,,,,,3,"2014-11-04 22:05:56",https://untappd.com/c/127103012,https://untappd.com/beer/493806,https://untappd.com/brewery/3461,England
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,Schtandard,,,,,,4.5,"2014-11-05 21:47:18",https://untappd.com/c/127249058,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Icelandic Toasted Porter","Einstök Olgerđ",Porter,6,0,"Another lovely one from Einstök. Clean tasting to start and a nice balance between the smoke and the bitterness.",,,,,,4,"2014-11-05 21:49:21",https://untappd.com/c/127249371,https://untappd.com/beer/107027,https://untappd.com/brewery/18816,Iceland
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,,,,,,,4.5,"2014-11-06 21:36:20",https://untappd.com/c/127420826,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"Black Jack Porter","Left Hand Brewing Company","English Porter",6.8,0,,,,,,,4,"2014-11-06 21:45:30",https://untappd.com/c/127422546,https://untappd.com/beer/213,https://untappd.com/brewery/779,"United States"
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,"On cask!",,,,,,5,"2014-11-07 13:24:49",https://untappd.com/c/127611893,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Hop. Kettle. Black.",Quantum,Dunkelweizen,4.8,0,"Sort of want a bit more body on this, but it's tasty nonetheless",,,,,,3.5,"2014-11-07 21:04:51",https://untappd.com/c/127670884,https://untappd.com/beer/856092,https://untappd.com/brewery/12248,England
"India Pale Weizen",BrewDog,Hefeweizen,5.6,0,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2014-11-07 21:37:58",https://untappd.com/c/127680640,https://untappd.com/beer/821324,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4,"2014-11-08 00:12:49",https://untappd.com/c/127746184,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
Keeper,Mikkeller,Pilsner,5,0,"Wow. Totally not what I expected from a pilsner","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2014-11-08 00:52:08",https://untappd.com/c/127768431,https://untappd.com/beer/604242,https://untappd.com/brewery/2813,Denmark
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,"Smuggled into the firework via @cellardoordrink :)",,,,,,4.5,"2014-11-08 19:35:36",https://untappd.com/c/128016812,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"Smog Rocket",Beavertown,"Smoked Beer",5.4,23,,,,,,,4,"2014-11-08 22:33:17",https://untappd.com/c/128116092,https://untappd.com/beer/169302,https://untappd.com/brewery/24735,England
AM:PM,"Thornbridge Brewery","American IPA",4.5,0,"Quite dry for a Thornbridge beer",,,,,,3.5,"2014-11-08 22:42:00",https://untappd.com/c/128121342,https://untappd.com/beer/612133,https://untappd.com/brewery/2047,England
Kellerweis,"Sierra Nevada Brewing Co.",Hefeweizen,4.8,15,,,,,,,4,"2014-11-08 23:14:21",https://untappd.com/c/128142365,https://untappd.com/beer/5374,https://untappd.com/brewery/1142,"United States"
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,,,,,,,4.5,"2014-11-09 20:42:25",https://untappd.com/c/128467895,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"Black Jack Porter","Left Hand Brewing Company","English Porter",6.8,0,"Can't get enough of this. Great way to round off the weekend.",,,,,,4,"2014-11-09 20:43:07",https://untappd.com/c/128468225,https://untappd.com/beer/213,https://untappd.com/brewery/779,"United States"
